"","Peoplesoft Level 4 Organization","Peoplesoft Level 5 Organization","Dept","Empl ID","D/I","Direct Pct of Total Hours - Aug 2016 - Jul 2017","Direct Pct of Base (Working) Hours -Aug 2016 - Jul 2017","Pct Indirect - Aug 2016 - Jul 2017","Total Labor Hours - Aug 2016 - Jul 2017","Total Base Labor Hours - Aug 2016 - Jul 2017","Total Indirect Labor Hours - Aug 2016 - Jul 2017","Direct Labor Hours - Aug 2016 - Jul 2017","Overtime Hours - Aug 2016 - Jul 2017","0041 / 0045 / 0061 PTO / Vacation / Sick Labor Hours - Aug 2016 - Jul 2017","0071 / 0077 / 0082 Personal Labor Hours - Aug 2016 - Jul 2017","0081 / Jury Duty Labor Hours - Aug 2016 - Jul 2017","0091 / Bereavement Labor Hours - Aug 2016 - Jul 2017","0094 / Military Leave Labor Hours - Aug 2016 - Jul 2017","0051 / Holiday Labor Hours - Aug 2016 - Jul 2017","Missing Labor Hours - Aug 2016 - Jul 2017","Mod Time Labor Hours - Aug 2016 - Jul 2017","SCA / Location Labor Hours - Aug 2016 - Jul 2017","Shift 2 Labor Hours - Aug 2016 - Jul 2017","Shift 3 Labor Hours - Aug 2016 - Jul 2017","Shift 4 Labor Hours - Aug 2016 - Jul 2017","Shift 5 Labor Hours - Aug 2016 - Jul 2017","Shift 6 Labor Hours - Aug 2016 - Jul 2017","Shift 7 Labor Hours - Aug 2016 - Jul 2017","NBI Labor Hours - Aug 2016 - Jul 2017","Hire Date","Union Code","Standard Hours","Work Schedule","state","Job Code","Grade","Title","Fringe Pool","Regular / Temporary","Reporting Level","Awaiting Access Labor Hours - Aug 2016 - Jul 2017","PAL Labor Hours - Aug 2016 - Jul 2017","Mgmt Alloc Labor Hours - Aug 2016 - Jul 2017","Primary Program Charged - 2016","Primary Program MA - 2016","Secondary Program Charged - 2016","emst","Term Class","Last Date Worked"
"1","BU1","BU1 General Management","54190","X12258","I",0,0,1,2056,1833,1833,0,0,119,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,1988-05-23,"R0",40,"SWW","CO","CF17","G15","Vice President-Product Line II","FR56","R","5",0,0,0,"Indirect","HQ",NA,"1","0","."
"2","BU1","BU1 General Management","54431","X21877","I",0.832364341085271,0.959776536312849,0.0402234636871508,2064,1790,72,1718,0,195,0,0,0,0,80,8,0,0,0,0,0,0,0,0,0,1994-12-27,"R0",40,"N27","VA","CF29","G13","Director I-Program Management","FR59","R","5",0,0,0,"PGM256","HQ","Indirect","1","0","."
"3","BU1","BU1 General Management","54431","X29683","I",0,0,1,2542,2221,2221,0,464,217,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,2007-12-04,"R0",40,"SWW","VA","NL05","G05","Executive Assistant Senior","FR59","R","5",0,0,0,"Indirect","HQ",NA,"1","0","."
"4","BU1","SBU 33","54491","X19844","I",0,0,1,2178,1897,1897,0,110,201,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,2007-11-19,"RN9",40,"SWW","FL","BA38","G11","Mgr III Human Resources","FR53","R","5",0,0,0,"Indirect","HQ",NA,"1","0","."
"5","BU1","SBU 33","54534","X18048","I",0.0496489468405216,0.0559006211180124,0.944664031620553,1994,1771,1673,99,0,151,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,2010-08-30,"RN9",40,"SWW","FL","NG04","G04","Site Security Specialist","FR53","R","8",0,0,0,"Indirect","HQ","PGM391","1","0","."
"6","BU1","SBU 33","54534","X11455","D",0.125,0.125,0.875,40,40,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-07-24,"RN9",40,"SWW","VA","IA03","G08","Sr Info Assur Cyber Spec I","FR53","R","7",0,0,0,"Indirect","HQ","PGM207","1","0","."
"7","BU1","SBU 33","54534","X27617","I",0.69234884965222,0.792892156862745,0.207107843137255,1869,1632,338,1294,17,142,0,0,24,0,72,0,-7,0,0,0,0,0,0,0,18,2012-01-30,"RN9",20,"RHP","VA","BA66","G10","Cnsltng Indust Security Spec","FR53","R","7",0,0,0,"Indirect","HQ","PGM291","1","0","."
"8","BU1","SBU 33","54534","X24740","I",0.0385708485586683,0.043418647166362,0.956581352833638,2463,2188,2093,95,419,196,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,2005-10-15,"RN9",40,"SWW","FL","BA61","G10","Mgr II Industrial Security","FR53","R","7",0,0,0,"Indirect","HQ","PGM391","1","0","."
"9","BU1","SBU 33","54642","X16168","I",0.0484622553588071,0.0560949298813377,0.943905070118662,2146,1854,1750,104,74,196,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,2012-04-09,"RN9",40,"SWW","FL","CS21","G07","Cyber  Engineer II","FR53","R","7",0,0,0,"Indirect","HQ","PGM248","1","0","."
"10","BU1","SBU 33","54642","X10490","I",0.0193610842207164,0.0214707461084273,0.978529253891573,2066,1863,1823,40,107,131,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,2009-08-25,"RN9",40,"SWW","FL","CS23","G09","Sr. Cyber Engineer II","FR53","R","7",0,0,0,"Indirect","HQ","PGM248","1","0","."
